,StationId,StationName,City,State,Status,latitude,longitude
145,MH011,"Sion, Mumbai - MPCB",Mumbai,Maharashtra,Active,19.0390214,72.8618952
146,MH012,"Vasai West, Mumbai - MPCB",Mumbai,Maharashtra,Active,19.3664631,72.8155136
147,MH013,"Vile Parle West, Mumbai - MPCB",Mumbai,Maharashtra,Active,19.1102949,72.8409693
148,MH014,"Worli, Mumbai - MPCB",Mumbai,Maharashtra,Active,18.9986406,72.8173599
149,MH015,"Opp GPO Civil Lines, Nagpur - MPCB",Nagpur,Maharashtra,,27.4695853,85.2722472
150,MH016,"Gangapur Road, Nashik - MPCB",Nashik,Maharashtra,,25.2181785,74.2604818
151,MH017,"Airoli, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,,19.1494,72.9986
152,MH018,"Mahape, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,,19.1182937,73.0275875
153,MH019,"Nerul, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,,19.0338457,73.0195871
154,MH020,"Karve Road, Pune - MPCB",Pune,Maharashtra,,18.497484,73.81349
155,MH021,"Solapur, Solapur - MPCB",Solapur,Maharashtra,,17.659919,75.906391
156,MH022,"Pimpleshwar Mandir, Thane - MPCB",Thane,Maharashtra,,19.192056,72.958519
157,ML001,"Lumpyngngad, Shillong - Meghalaya PCB",Shillong,Meghalaya,Active,25.5585941,91.8984865
119,MP001,"T T Nagar, Bhopal - MPPCB",Bhopal,Madhya Pradesh,Active,26.9018355,75.8271951
120,MP002,"Shrivastav Colony, Damoh - MPPCB",Damoh,Madhya Pradesh,,23.8184923,79.4338188
121,MP003,"Bhopal Chauraha, Dewas - MPPCB",Dewas,Madhya Pradesh,,23.4884313,77.4242972
122,MP004,"City Center, Gwalior - MPPCB",Gwalior,Madhya Pradesh,,25.1261522,82.0889208
123,MP005,"Phool Bagh, Gwalior - Mondelez Ind. Food",Gwalior,Madhya Pradesh,,26.0775099,82.8755209
124,MP006,"Chhoti Gwaltoli, Indore - MPPCB",Indore,Madhya Pradesh,,25.5740127,85.0447798
125,MP007,"Marhatal, Jabalpur - MPPCB",Jabalpur,Madhya Pradesh,,23.1670639,79.9339608
126,MP008,"Gole Bazar, Katni - MPPCB",Katni,Madhya Pradesh,,23.8327424,80.3978186
127,MP009,"Sahilara, Maihar - KJS Cements",Maihar,Madhya Pradesh,,24.2609738,80.7186697
128,MP010,"Sector-D Industrial Area, Mandideep - MPPCB",Mandideep,Madhya Pradesh,,23.10844,77.511428
129,MP011,"Sector-2 Industrial Area, Pithampur - MPPCB",Pithampur,Madhya Pradesh,,22.624758,75.675238
130,MP012,"Shasthri Nagar, Ratlam - IPCA Lab",Ratlam,Madhya Pradesh,,23.3312468,75.0432032
131,MP013,"Deen Dayal Nagar, Sagar - MPPCB",Sagar,Madhya Pradesh,,22.1245231,77.1231522
132,MP014,"Bandhavgar Colony, Satna - Birla Cement",Satna,Madhya Pradesh,,24.584344,80.854941
133,MP015,"Vindhyachal STPS, Singrauli - MPPCB",Singrauli,Madhya Pradesh,,25.1388133,82.5672727
134,MP016,"Mahakaleshwar Temple, Ujjain - MPPCB",Ujjain,Madhya Pradesh,,23.182719,75.768218
158,MZ001,"Sikulpuikawn, Aizawl - Mizoram PCB",Aizawl,Mizoram,Active,23.7173952,92.7181174
159,OD001,"GM Office, Brajrajnagar - OSPCB",Brajrajnagar,Odisha,Active,21.8005,83.839698
160,OD002,"Talcher Coalfields,Talcher - OSPCB",Talcher,Odisha,Active,20.9501027,85.216816
161,PB001,"Golden Temple, Amritsar - PPCB",Amritsar,Punjab,Active,30.3853,76.124124
162,PB002,"Hardev Nagar, Bathinda - PPCB",Bathinda,Punjab,,30.2420588,74.9175889
163,PB003,"Civil Line, Jalandhar - PPCB",Jalandhar,Punjab,,30.4433643,76.4207224
164,PB004,"Kalal Majra, Khanna - PPCB",Khanna,Punjab,,30.736056,76.209694
165,PB005,"Punjab Agricultural University, Ludhiana - PPCB",Ludhiana,Punjab,,31.1471305,75.3412179
166,PB006,"RIMT University, Mandi Gobindgarh - PPCB",Gobindgarh,Punjab,,30.649961,76.331442
167,PB007,"Model Town, Patiala - PPCB",Patiala,Punjab,,30.3451678,76.3709637
168,PB008,"Ratanpura, Rupnagar - Ambuja Cements",Rupnagar,Punjab,,31.032545,76.562305
